Predictor,Model 1 OR (95% CI),Model 2 OR (95% CI),Model 3 OR (95% CI)
Agriculture only vs Other,1.42 (0.92–2.19),1.18 (0.74–1.89),1.13 (0.70–1.83)
Livestock only vs Other,1.62 (1.31–2.01),1.46 (1.16–1.83),1.54 (1.21–1.96)
Mixed crop-livestock vs Other,2.60 (1.92–3.51),1.94 (1.40–2.68),2.06 (1.47–2.88)
Rural vs Urban,1.50 (1.22–1.84),1.00 (0.80–1.27),0.90 (0.71–1.15)
Nomadic vs Urban,2.27 (1.74–2.97),1.06 (0.78–1.44),0.73 (0.53–1.02)
Groundwater vs Private piped,—,1.52 (1.17–1.97),1.90 (1.44–2.49)
Public network vs Private piped,—,3.66 (2.53–5.31),4.62 (3.08–6.95)
Rain/surface vs Private piped,—,11.80 (8.93–15.60),13.79 (10.26–18.54)
Delivered/vendor vs Private piped,—,1.22 (0.89–1.66),1.29 (0.91–1.82)
"Road distance, per km (99th-pct cap)",—,—,1.08 (1.05–1.11)
